Date Time Gauge Helium
12-Jan-2021 10:15:51 3629.325000 4837.890225
13-Jan-2021 10:17:48 3637.287000 4848.503571
13-Jan-2021 10:44:19 3637.488000 4848.771504

14-Jan-2021 14:51:21 3644.183000 4857.695939
17-Jan-2021 10:23:52 3664.333000 4884.555889
21-Jan-2021 11:37:19 3698.874000 4930.599042
21-Jan-2021 11:39:58 3698.874000 4930.599042
21-Jan-2021 11:40:14 3698.875000 4930.600375
21-Jan-2021 12:01:46 3700.550000 4932.833150
21-Jan-2021 12:13:16 3703.000000 4936.099000
21-Jan-2021 12:28:10 3707.300000 4941.830900
21-Jan-2021 12:39:19 3710.160000 4945.643280
21-Jan-2021 12:44:48 3711.400000 4947.296200
21-Jan-2021 12:49:12 3712.420000 4948.655860
21-Jan-2021 12:52:40 3712.600000 4948.895800
21-Jan-2021 13:06:13 3714.800000 4951.828400
26-Jan-2021 10:34:12 3753.414000 5003.300862
29-Jan-2021 17:22:59 3776.2 5033.6746
29-Jan-2021 17:35:20 3776.2 5033.6746
01-Feb-2021 17:28:17 3795.862 5059.884046
02-Feb-2021 09:01:21 3801.3 5067.1329
04-Feb-2021 10:21:24 3815.9 5086.5947
07-Feb-2021 09:27:27 3836.1 5113.5213
07-Feb-2021 11:47:48 3836.1 5113.5213
18-Feb-2021 13:45:03 3932.673 5242.253109
22-Feb-2021 11:41:08 3960.22 5278.97326
01-Mar-2021 09:58:06 4032 5374.656
04-Mar-2021 09:02:09 4055 5405.315
07-Mar-2021 12:57:35 4075.8 5433.0414
07-Mar-2021 12:59:21 4075.8 5433.0414
09-Mar-2021 11:33:28 4090.448 5452.567184
09-Mar-2021 11:33:34 4090.448 5452.567184
09-Mar-2021 11:58:39 4094.35 5457.76855
09-Mar-2021 12:07:09 4095 5458.635
09-Mar-2021 12:07:14 4095 5458.635
09-Mar-2021 12:33:05 4102.35 5468.43255
09-Mar-2021 12:40:36 4104.25 5470.96525
09-Mar-2021 12:55:15 4105.825 5473.064725
10-Mar-2021 11:46:36 4116.5825 5487.4044725
11-Mar-2021 12:00:17 4124.4 5497.8252
14-Mar-2021 10:09:43 4158.6 5543.4138
15-Mar-2021 12:34:49 4170.7 5559.5431
17-Mar-2021 10:20:50 4191.3 5587.0029
18-Mar-2021 10:57:56 4200.15 5598.79995
18-Mar-2021 17:02:21 4205.7 5606.1981
21-Mar-2021 11:41:43 4233 5642.589
24-Mar-2021 10:43:49 4262.2 5681.5126
24-Mar-2021 10:50:21 4262.2 5681.5126
24-Mar-2021 10:50:25 4262.2 5681.5126
24-Mar-2021 11:48:32 4265.4 5685.7782
24-Mar-2021 11:48:40 4265.8 5686.3114
24-Mar-2021 12:14:43 4272.35 5695.04255
24-Mar-2021 12:24:03 4274.76 5698.25508
24-Mar-2021 12:43:46 4278.1 5702.7073
25-Mar-2021 15:14:52 4295 5725.235
29-Mar-2021 09:50:11 4327 5767.891
30-Mar-2021 11:34:25 4340 5785.22
31-Mar-2021 10:26:36 4350 5798.55
04-Apr-2021 13:21:39 4393 5855.869
07-Apr-2021 11:04:27 4425 5898.525
07-Apr-2021 11:20:37 4425 5898.525
07-Apr-2021 11:20:40 4425 5898.525
07-Apr-2021 11:35:27 4430 5905.19
07-Apr-2021 11:43:06 4435 5911.855
07-Apr-2021 11:48:24 4438 5915.854
07-Apr-2021 12:02:16 4444 5923.852
07-Apr-2021 12:23:47 4449 5930.517
07-Apr-2021 12:28:46 4451 5933.183
07-Apr-2021 12:34:54 4452 5934.516
07-Apr-2021 12:49:17 4454 5937.182
08-Apr-2021 10:32:46 4466 5953.178
11-Apr-2021 10:53:57 4497 5994.501
12-Apr-2021 13:27:24 4508 6009.164
14-Apr-2021 10:31:40 4526.8 6034.2244
14-Apr-2021 10:37:57 4526.8 6034.2244
14-Apr-2021 10:38:01 4526.8 6034.2244
14-Apr-2021 10:53:52 4527.7 6035.4241
14-Apr-2021 11:06:43 4528.9 6037.0237
14-Apr-2021 11:24:25 4534.3 6044.2219
14-Apr-2021 11:43:13 4538.8 6050.2204
18-Apr-2021 13:30:59 4587.2 6114.7376
19-Apr-2021 09:49:59 4595.9 6126.3347
20-Apr-2021 11:22:20 4605.5 6139.1315
20-Apr-2021 11:23:16 4606.8 6140.8644
20-Apr-2021 11:29:52 4607.18 6141.37094
20-Apr-2021 11:36:25 4607.74 6142.11742
20-Apr-2021 11:42:25 4608.8 6143.5304
20-Apr-2021 11:47:14 4610 6145.13
20-Apr-2021 11:51:34 4611 6146.463
20-Apr-2021 11:56:00 4612.2 6148.0626
20-Apr-2021 12:05:09 4614.4 6150.9952
20-Apr-2021 12:17:31 4615.85 6152.92805
20-Apr-2021 12:41:29 4616.2 6153.3946
20-Apr-2021 12:41:33 4616.2 6153.3946
20-Apr-2021 12:53:09 4617.36 6154.94088
20-Apr-2021 12:56:02 4617.76 6155.47408
20-Apr-2021 12:57:25 4618 6155.794
20-Apr-2021 13:02:25 4618.9 6156.9937
20-Apr-2021 13:10:54 4619.3 6157.5269
21-Apr-2021 09:41:35 4629 6170.457
22-Apr-2021 10:16:40 4639.2 6184.0536
25-Apr-2021 10:13:10 4669.4 6224.3102
26-Apr-2021 14:06:29 4680.8 6239.5064
27-Apr-2021 09:50:25 4691.7 6254.0361
28-Apr-2021 10:26:18 4704.5 6271.0985
29-Apr-2021 09:47:05 4714.2 6284.0286
02-May-2021 12:08:21 4740.6 6319.2198
02-May-2021 12:08:29 4741.4 6320.2862
02-May-2021 12:13:02 4742 6321.086
02-May-2021 12:19:53 4742.3 6321.4859
02-May-2021 12:32:58 4742.7 6322.0191
02-May-2021 12:43:56 4743.4 6322.9522
02-May-2021 12:52:20 4744.4 6324.2852
02-May-2021 13:01:03 4746 6326.418
02-May-2021 13:10:12 4747.5 6328.4175
02-May-2021 13:17:50 4749.1 6330.5503
02-May-2021 13:23:13 4750.3 6332.1499
02-May-2021 13:26:55 4751.6 6333.8828
02-May-2021 14:28:44 4754.6 6337.8818
03-May-2021 09:59:19 4762 6347.746
04-May-2021 10:11:39 4772.8 6362.1424
06-May-2021 10:58:47 4791.8 6387.4694
10-May-2021 09:49:03 4827.3 6434.7909
12-May-2021 16:57:52 4856.5 6473.7145
12-May-2021 17:05:55 4857 6474.381
12-May-2021 17:19:06 4857.7 6475.3141
12-May-2021 17:25:09 4858 6475.714
12-May-2021 17:33:11 4858.8 6476.7804
12-May-2021 17:57:01 4863.85 6483.51205
12-May-2021 18:01:08 4865.3 6485.4449
12-May-2021 18:05:25 4867 6487.711
12-May-2021 18:20:50 4868.5 6489.7105
13-May-2021 10:11:50 4876.3 6500.1079
18-May-2021 10:23:38 4916.4 6553.5612
18-May-2021 13:17:36 4917.35 6554.82755
18-May-2021 13:17:41 4917.4 6554.8942
18-May-2021 13:27:58 4918 6555.694
18-May-2021 13:34:23 4918.4 6556.2272
18-May-2021 13:40:18 4918.67 6556.58711
18-May-2021 13:51:18 4919.56 6557.77348
18-May-2021 14:04:57 4922.1 6561.1593
18-May-2021 14:15:34 4924.6 6564.4918
18-May-2021 14:21:44 4926 6566.358
18-May-2021 14:27:50 4927.3 6568.0909
18-May-2021 14:34:24 4928.8 6570.0904
18-May-2021 14:40:24 4929.9 6571.5567
18-May-2021 14:47:55 4931.62 6573.84946
18-May-2021 14:51:27 4932.3 6574.7559
19-May-2021 09:54:54 4940.034 6585.065322
20-May-2021 13:30:17 4948.187 6595.933271
21-May-2021 16:37:02 4956.048 6606.411984
23-May-2021 09:30:42 4966.3 6620.0779
24-May-2021 10:05:40 4973.6 6629.8088
25-May-2021 11:56:22 4981.62 6640.49946
26-May-2021 12:43:43 4994.156 6657.209948
30-May-2021 10:18:27 5032.771 6708.683743
31-May-2021 13:50:36 5045.63 6725.82479
01-Jun-2021 10:42:35 5053.838 6736.766054
01-Jun-2021 10:43:00 5053.838 6736.766054
01-Jun-2021 10:48:46 5054.58 6737.75514
01-Jun-2021 10:52:48 5054.83 6738.08839
01-Jun-2021 10:57:44 5055.135 6738.494955
01-Jun-2021 11:22:05 5057.7 6741.9141
01-Jun-2021 11:31:27 5059.9 6744.8467
01-Jun-2021 11:43:09 5063.3 6749.3789
01-Jun-2021 11:56:16 5065.67 6752.53811
02-Jun-2021 12:38:12 5077.43 6768.21419
06-Jun-2021 10:20:38 5111.25 6813.29625
07-Jun-2021 10:42:29 5120.4 6825.4932
08-Jun-2021 12:07:25 5129.2 6837.2236
08-Jun-2021 12:07:47 5129.2 6837.2236
08-Jun-2021 12:25:12 5129.82 6838.05006
08-Jun-2021 12:36:00 5130.5 6838.9565
08-Jun-2021 12:46:40 5131.8 6840.6894
08-Jun-2021 13:01:06 5135.66 6845.83478
08-Jun-2021 13:14:38 5140.3 6852.0199
08-Jun-2021 13:57:43 5142.5 6854.9525
09-Jun-2021 10:11:47 5149.76 6864.63008
13-Jun-2021 11:11:50 5178.76 6903.28708
14-Jun-2021 11:37:35 5185.53 6912.31149
15-Jun-2021 13:13:32 5192.6 6921.7358
16-Jun-2021 17:57:15 5199.3 6930.6669
20-Jun-2021 10:35:29 5224.724 6964.557092
21-Jun-2021 12:10:33 5231.36 6973.40288
22-Jun-2021 13:16:33 5238.208 6982.531264
22-Jun-2021 13:16:39 5238.08 6982.36064
22-Jun-2021 13:32:23 5238.27 6982.61391
22-Jun-2021 13:32:45 5283.27 7042.59891
22-Jun-2021 13:33:08 5238.27 6982.61391
22-Jun-2021 13:45:14 5239 6983.587
22-Jun-2021 13:45:31 5239.094 6983.712302
22-Jun-2021 13:47:12 5238.207 6982.529931
22-Jun-2021 13:47:25 5239.094 6983.712302
22-Jun-2021 13:57:45 5238.278 6982.624574
22-Jun-2021 13:57:58 5239.57 6984.34681
22-Jun-2021 14:12:44 5240.46 6985.53318
22-Jun-2021 14:37:44 5245.23 6991.89159
22-Jun-2021 14:44:50 5247.03 6994.29099
22-Jun-2021 14:54:23 5249.93 6998.15669
22-Jun-2021 15:02:52 5252.84 7002.03572
22-Jun-2021 15:09:01 5254.82 7004.67506
22-Jun-2021 17:31:40 5260.12 7011.73996
23-Jun-2021 09:34:17 5267.3 7021.3109
27-Jun-2021 09:57:25 5302.34 7068.01922
28-Jun-2021 09:07:19 5309.3 7077.2969
30-Jun-2021 09:51:56 5323.21 7095.83893
01-Jul-2021 09:22:07 5329.49 7104.21017
04-Jul-2021 09:54:41 5347.95 7128.81735
06-Jul-2021 12:48:46 5361.98 7147.51934
06-Jul-2021 13:03:53 8.7 11.5971
06-Jul-2021 13:04:38 5362.69 7148.46577
06-Jul-2021 13:11:00 5362.9 7148.7457
06-Jul-2021 13:30:04 5364.07 7150.30531
06-Jul-2021 14:01:31 5371.6 7160.3428
06-Jul-2021 14:12:33 5374.6 7164.3418
06-Jul-2021 14:19:26 5376.5 7166.8745
06-Jul-2021 14:24:00 5378 7168.874
06-Jul-2021 14:36:32 5380.38 7172.04654
07-Jul-2021 11:28:31 5387.59 7181.65747
08-Jul-2021 10:14:50 5394.64 7191.05512
12-Jul-2021 11:12:19 5421.63 7227.03279
13-Jul-2021 14:15:52 5428.6 7236.3238
14-Jul-2021 11:28:29 5434.2 7243.7886
15-Jul-2021 10:20:15 5440.2 7251.7866
18-Jul-2021 09:24:52 5458.58 7276.28714
20-Jul-2021 11:03:30 5471.225 7293.142925
20-Jul-2021 11:16:33 5471.74 7293.82942
20-Jul-2021 11:27:10 5472.18 7294.41594
20-Jul-2021 11:33:06 5472.5 7294.8425
20-Jul-2021 11:37:19 5472.77 7295.20241
20-Jul-2021 11:42:20 5473.12 7295.66896
20-Jul-2021 11:47:00 5473.53 7296.21549
20-Jul-2021 11:52:21 5474.4 7297.3752
20-Jul-2021 11:58:39 5475.8 7299.2414
20-Jul-2021 12:03:04 5476.95 7300.77435
20-Jul-2021 12:08:10 5478.4 7302.7072
20-Jul-2021 12:12:57 5479.8 7304.5734
20-Jul-2021 12:15:22 5480.66 7305.71978
20-Jul-2021 12:20:41 5482.25 7307.83925
20-Jul-2021 12:28:30 5484.63 7311.01179
20-Jul-2021 12:34:58 5486.1 7312.9713
20-Jul-2021 12:39:23 5487.7 7315.1041
20-Jul-2021 12:48:15 5490.75 7319.16975
