Time Frequency Harmonic Sensitivity Time_Constant Current_Gain Input_Range Amplitiude DC
"29-Jan-2021 16:34:56" 61.254 2 100mV 100us 10nA 100mV 0 0
"29-Jan-2021 16:35:33" 61.254 2 100mV 100us 10nA 100mV 0 0
"29-Jan-2021 16:40:50" 61.254 2 100mV 100us 10nA 100mV 0 0
"29-Jan-2021 18:04:10" 61.254 2 100mV 100us 10nA 100mV 0 0
"29-Jan-2021 18:15:00" 61.254 2 100mV 100us 10nA 100mV 0 0
"29-Jan-2021 18:17:57" 61.254 2 100mV 100us 10nA 100mV 0 0
"29-Jan-2021 18:23:43" 61.254 2 100mV 100us 10nA 100mV 0 0
"01-Feb-2021 13:45:54" 61.254 2 100mV 100us 10nA 100mV 0 0
"02-Feb-2021 09:21:55" 61.254 2 100mV 100us 10nA 100mV 0 0
"02-Feb-2021 09:47:25" 61.254 2 100mV 100us 10nA 100mV 0 0
"02-Feb-2021 11:45:16" 61.254 2 100mV 100us 10nA 100mV 0 0
"02-Feb-2021 15:25:14" 61.254 2 100mV 100us 10nA 100mV 0 0
"02-Feb-2021 18:55:33" 61.254 2 100mV 100us 10nA 100mV 0 0
"03-Feb-2021 12:14:37" 61.254 2 500uV 100ms 10nA 100mV 0.10000000149 0.0010000000475
"03-Feb-2021 12:15:00" 61.254 2 500uV 100ms 10nA 100mV 0.10000000149 0.0010000000475
"03-Feb-2021 12:19:20" 61.254 2 1mV 100ms 10nA 100mV 0.10000000149 0.0010000000475
"03-Feb-2021 14:15:01" 61.254 2 5mV 100ms 10nA 100mV 0.10000000149 0.0010000000475
"03-Feb-2021 17:08:00" 61.254 2 20mV 3ms 10nA 100mV 0 0
"03-Feb-2021 17:09:17" 61.254 2 20mV 3ms 10nA 100mV 0.10000000149 0.0010000000475
"03-Feb-2021 17:31:56" 61.254 2 20mV 3ms 10nA 100mV 0.10000000149 0.0010000000475
"03-Feb-2021 17:42:00" 61.254 2 20mV 3ms 10nA 100mV 0.0099999997765 0
"04-Feb-2021 11:02:25" 61.254 2 20mV 3ms 10nA 100mV 0 0
"04-Feb-2021 11:03:48" 61.254 2 20mV 3ms 10nA 100mV 0.10000000149 0.0010000000475
"04-Feb-2021 13:01:05" 61.254 2 20mV 3ms 10nA 100mV 0.04999999702 4.7499998379e-10
"04-Feb-2021 13:58:33" 61.254 2 20mV 3ms 10nA 100mV 0.04999999702 4.7499998379e-10
"07-Feb-2021 09:34:57" 61.254 2 20mV 3ms 10nA 100mV 0 4.7499998379e-10
"08-Feb-2021 09:52:22" 61.254 2 20mV 3ms 10nA 100mV 0.04999999702 4.7499998379e-10
"08-Feb-2021 10:10:38" 61.254 2 50mV 1ms 10nA 100mV 0.04999999702 4.7499998379e-10
"09-Feb-2021 17:55:02" 61.254 2 50mV 1ms 10nA 100mV 0.02499999851 4.7499998379e-10
"09-Feb-2021 18:07:22" 61.254 2 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"09-Feb-2021 18:21:54" 7 1 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"09-Feb-2021 18:26:56" 667 2 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"09-Feb-2021 18:33:01" 61.25 2 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"09-Feb-2021 18:41:01" 61.25 2 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"09-Feb-2021 18:50:32" 61.25 2 50mV 1ms 10nA 100mV 0.04999999702 4.7499998379e-10
"09-Feb-2021 18:54:21" 61.25 2 50mV 1ms 10nA 100mV 0 4.7499998379e-10
"10-Feb-2021 14:58:42" 61.25 2 50mV 1ms 10nA 100mV 0.04999999702 4.7499998379e-10
"10-Feb-2021 15:01:34" 61.25 2 50mV 1ms 10nA 100mV 0.10000000149 4.7499998379e-10
"10-Feb-2021 15:08:01" 61.25 2 50mV 1ms 10nA 100mV 0.10000000149 4.7499998379e-10
"10-Feb-2021 15:08:25" 61.25 2 50mV 1ms 10nA 100mV 0.04999999702 4.7499998379e-10
"10-Feb-2021 16:38:39" 61.25 2 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"10-Feb-2021 16:44:03" 61.25 2 50mV 1ms 10nA 100mV 0.00099999993108 4.7499998379e-10
"10-Feb-2021 16:46:42" 61.25 2 50mV 1ms 10nA 100mV 0.0049999998882 4.7499998379e-10
"10-Feb-2021 16:51:13" 61.25 2 50mV 1ms 10nA 100mV 0.0049999998882 4.7499998379e-10
"10-Feb-2021 17:02:51" 61.25 2 50mV 1ms 10nA 100mV 0.00099999993108 4.7499998379e-10
"10-Feb-2021 17:07:01" 61.25 2 50mV 1ms 10nA 100mV 0.0049999998882 4.7499998379e-10
"10-Feb-2021 17:23:33" 5115.3 2 50mV 1ms 10nA 100mV 0.0049999998882 4.7499998379e-10
"10-Feb-2021 17:40:18" 61.25 2 50mV 1ms 10nA 100mV 0.0049999998882 4.7499998379e-10
"10-Feb-2021 18:16:57" 61.25 2 50mV 1ms 10nA 100mV 0.0049999998882 4.7499998379e-10
"10-Feb-2021 18:23:25" 61.25 2 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"11-Feb-2021 10:23:26" 61.25 2 50mV 1ms 10nA 100mV 0.0049999998882 4.7499998379e-10
"11-Feb-2021 10:25:58" 61.25 2 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"11-Feb-2021 10:39:46" 61.25 2 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"11-Feb-2021 10:48:34" 61.25 2 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"11-Feb-2021 15:57:55" 61.25 2 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
"11-Feb-2021 15:58:21" 61.25 1 50mV 1ms 10nA 100mV 0.0099999997765 4.7499998379e-10
