Date Time Field[G] Current[A] Source Channel

28-05-2022 15-14-45 0 0 "Power supplay" 1
28-05-2022 15-36-19 999.96 1.5384 "Power supplay" 1
28-05-2022 16-06-27 9998.17 15.3818 "Power supplay" 1
28-05-2022 16-06-29 9998.17 15.3818 "Power supplay" 1
28-05-2022 17-10-13 -9998.69 -15.3826 "Power supplay" 1
28-05-2022 17-45-46 -9998.69 -15.3826 "Power supplay" 1
28-05-2022 18-18-17 0 0 "Power supplay" 1
28-05-2022 19-04-56 9998.555 28.5673 "Power supplay" 2
28-05-2022 19-04-59 9998.555 28.5673 "Power supplay" 2
28-05-2022 20-29-56 -9998.52 -28.5672 "Power supplay" 2
28-05-2022 20-29-59 -9998.52 -28.5672 "Power supplay" 2
28-05-2022 21-12-35 -1.61 -0.0046 "Power supplay" 2
28-05-2022 21-12-37 -1.61 -0.0046 "Power supplay" 2
30-05-2022 11-57-55 9998.495 15.3823 "Power supplay" 1
30-05-2022 11-57-58 9998.495 15.3823 "Power supplay" 1
30-05-2022 12-37-43 -9998.56 -15.3824 "Power supplay" 1
30-05-2022 12-37-45 -9998.56 -15.3824 "Power supplay" 1
30-05-2022 12-47-47 -1.495 -0.0023 "Power supplay" 1
30-05-2022 12-47-50 -1.495 -0.0023 "Power supplay" 1
30-05-2022 13-17-46 9998.695 28.5677 "Power supplay" 2
30-05-2022 13-17-48 9998.695 28.5677 "Power supplay" 2
30-05-2022 13-45-01 -1.505 -0.0043 "Power supplay" 2
30-05-2022 13-45-04 -1.505 -0.0043 "Power supplay" 2
30-05-2022 23-17-04 3616.34 5.5636 "Power supplay" 1
30-05-2022 23-36-01 1.235 0.0019 "Power supplay" 1
30-05-2022 23-46-24 -9998.235 -15.3819 "Power supplay" 1
30-05-2022 23-46-27 -9998.235 -15.3819 "Power supplay" 1
30-05-2022 23-57-08 848.9 1.306 "Power supplay" 1
30-05-2022 23-58-58 -0.065 -0.0001 "Power supplay" 1
31-05-2022 10-04-36 -758.16 -1.1664 "Power supplay" 1
31-05-2022 10-14-23 -9998.755 -15.3827 "Power supplay" 1
31-05-2022 10-14-25 -9998.755 -15.3827 "Power supplay" 1
31-05-2022 10-33-52 9998.495 15.3823 "Power supplay" 1
31-05-2022 10-33-55 9998.495 15.3823 "Power supplay" 1
31-05-2022 10-53-21 -9998.43 -15.3822 "Power supplay" 1
31-05-2022 10-53-23 -9998.43 -15.3822 "Power supplay" 1
31-05-2022 11-12-49 9998.17 15.3818 "Power supplay" 1
31-05-2022 11-12-51 9998.17 15.3818 "Power supplay" 1
31-05-2022 11-22-54 1.235 0.0019 "Power supplay" 1
31-05-2022 12-43-55 59998.965 92.3061 "Power supplay" 1
31-05-2022 13-24-04 0 0 "Power supplay" 1
